races,classes,slots,n
65535,941,24576,Battle Scarred Wingblade
65535,15773,24576,Tarnished Mining Pick
56101,16,8192,Zealot's Khukri
65535,385,16384,Vacra Av Svim
65535,277,24576,Long Sword of the Defender
65535,148,8192,Possessed Sacrificial Cleaver
65535,141,24576,The Silver Nemesis
65535,8,24576,Yannikil
19640,405,8192,Ebon Razor
65535,169,24576,Vluudeen's Tail
65535,317,24576,Silver Sword of Yalrek
65535,157,24576,Tae Ew Whip
65535,397,24576,Purified Short Sword
65515,897,524288,Boots of the Savage
65538,49152,24576,Balanced War Axe
65535,33053,8192,Ivory Handled Cleaver
65535,32781,8192,Runed Blade
65535,33809,8192,Pestilence Scythe
65535,34813,8192,Pestilence Scythe
3200,32773,8192,Stormguard Battle Axe of Brell
65535,32793,8192,Ykeshan Broad Axe
65535,32777,8192,Marauder's Blade
9090,32768,8192,Yngvar's Battleaxe of Ruination
13058,16641,24576,Dagger of the White Rose
65519,1297,24576,Woe
65535,32729,24576,Johanius Stake of Slaying
19584,261,24576,Rantho Rapier
65535,905,24576,Hardened Bone Spear
65535,16656,26624,Very Rusty Dagger
65535,17033,8192,Kerran War Spear
65535,16905,10240,Spear of Constriction
65535,17297,24576,Spear of Eternal Bondage
65535,16785,24576,Scorpikis Stinger Shank
65535,31872,8192,Mithril Quill
65535,921,24576,Gloomwater Harpoon
65535,32145,24576,Grim Dagger
65535,16256,24576,White Fire dagger
65535,31880,8192,Drakkel Wolf Claws
60651,264,24576,Windruned Dagger
18432,2304,24576,Plague Rust Stiletto
65535,16897,8192,Goblin Hunter Javelin
65535,16669,8192,Gunthak Harpoon
13058,17937,24576,Hierophant's Knife
65535,15769,24576,Vengeful Polished Obsidian Shard
65535,16541,24576,Sea Forged Dagger
65535,16797,24576,Wicked Shank
65535,16657,24576,Polished Steel Dirk
65535,392,16384,Tijoely's Dancing Rapier
65535,15616,8192,Medium Dagger
65535,17289,8192,Purified Spear
65535,17153,8192,Spear of Winter
65535,17305,8192,Wooden Practice Spear
65535,16784,26624,Vyemm's Fang
2,16641,24576,Dagger of the White Rose
65535,32665,8192,Yar`Lir's Fang
65515,16521,24576,Cursed Dagger of the Buried Deep
18432,15639,26624,Tinker Wrench
18785,15891,24576,Malevolence
65535,17023,26624,Mace of the Templars
65535,518,8192,Summoned: Hammer of Wrath
65535,15488,24576,Water Crystal Staff
65535,18001,24576,Survival Staff
65535,449,24576,Skullcrusher
65535,133,24576,Warding Star
65535,477,24576,Thorny Blackjack
65535,16468,24576,Stave of Shielding
65535,16713,24576,Wintry Club
65535,511,24576,White Fire mace
65535,16383,24576,White Fire staff
65535,17151,24576,Shredder Claw Club
65535,14370,8192,Eye of Possession
34869,8192,8192,Xolion Rod
19640,191,24576,Stone Thunder
65535,32383,8192,Spiroc Battle Staff
65535,17279,8192,Efreeti War Club
62215,17375,26624,Ogre War Mace
65515,17107,26624,Imbued Ogre War Mace
45831,17107,26624,Imbued Ogre War Mace
60671,303,26624,Stormguard Battle Hammer
19585,391,26624,Stormguard Battle Hammer of Brell
65535,17087,24576,Vengeful Reshapen Sharkbone Hammer
65535,16833,24576,Skullcrusher of Kragg
65535,32354,8192,Noble's Walking Staff
65535,15426,24576,Velium Crystal Staff
65515,16705,24576,Velium Knuckledusters
65535,15999,24576,Sceptre of Ixiblat Fer
65535,1007,24576,Purified Star
65535,16946,24576,Garou Bone Club
65535,16599,8192,Sambata Tribal Club
64747,448,24576,Teir'dal Sai
65531,17387,24576,Shining Energeiac Mace
65535,17369,24576,Spiked Plank
65535,16605,24576,Dukatlos
65535,457,24576,Verge of the Mindless Servant
65407,15904,8192,Staff of the Confidant
65535,16585,24576,Ogre Femur Club
117941,2,8192,Yalienn's Water Sprinkler
65535,49698,8192,Staff of the Elder Claws
65535,33808,8192,Staff of the Moribund Spirits
65535,32774,8448,Thunder Staff
65535,32861,8192,Rod of Mourning
65535,32853,8192,Runestone Maul
65535,32836,8192,Baton of Faith
65535,49685,8192,Granite Face Grinder
65535,49779,8192,Reinforced Bamboo Bokken
33865,175,8192,Cros Treewind's Staff
29570,49666,8192,Midnight Mallet
19232,48146,8192,Tnor'Tesphi
65535,48192,8192,Staff of Cancellation
65535,49702,8192,Staff of Forbidden Rites
65535,550,8192,Staff of Forbidden Rites
65535,49919,8192,War Maul
13058,49683,8192,Gatorsmash Maul
65535,49693,8192,Efreeti War Maul
62215,49747,8192,Ogre War Hammer
55349,15377,8192,Staff of the Arisen Cultist
65535,65151,8192,Xoomix's Quarterstaff
65535,49783,8192,Vengeful Varnished Wooden Crook
65535,50111,8192,Sentry Maul
65535,49711,8192,Laoch Warhammer
65535,49902,8192,Duir Staff
62335,49759,8192,Drakkel Icegrinder
65535,49791,8192,Wooden Practice Two Handed Hammer
65535,65058,8192,Stone Staff of Might
81920,2560,8192,Slimy Staff
65535,49702,8192,Staff of Forbidden Rites
65535,550,8192,Staff of Forbidden Rites
65535,49225,8192,Wailing Coral Staff
65535,49181,8192,Windfury Staff
45955,32832,8192,Scepter of Cracked Heads
65535,49757,8192,Gloomsteel Staff
65535,33225,2048,Silvered Javelin
131071,64991,4196352,Ancient Coldain Throwing Axe
60639,559,16384,Marr's Promise
65511,919,16384,Hollowed Koada`Dal Rib Cage
65535,991,16640,Shield of the Pack Slayer
24641,399,16384,The Qeynos Shield
62335,959,16384,Velium Round Shield
65535,17303,16384,Tainted Shield of Blessed Faith
65535,16959,16640,Glyphed Shield of the Swamp
65535,514,16384,Strathbone Shell Shield
19232,791,16384,Shield of Hatred
65535,593,16384,Curscale Buckler
13058,17311,16384,Large Round Shield
768,529,16384,Ogre Bouncer Shield
19584,775,16384,Dwarven Battle Shield
19584,775,16384,Dwarven Battle Shield
65535,17343,16384,Vengeful Rigid Mistmoore Shield
65535,38,16384,Aura of the Benevolent Knight
65535,15926,16384,Tranquilius' Tempest Ward
65535,16063,16384,Shield of Coastal Purity
65535,566,16384,Shining Shield of Divinity
65535,1570,16384,Recovered Shield of Respite
65535,15935,16384,Windhowl Shield
65535,21,16384,Wyvern's Bane Shield
65535,16319,16384,Ykesha's Shield
65515,328,16384,Warborn Shield
65515,321,16384,Xixkt's Shield
61567,33169,256,Black Leather Cloak
64751,33177,4096,Brown Leather Gloves
8962,33297,131072,Trakanasaur Hide Tunic
16472,431,1536,Mithril Studded Wristbands
19584,33031,1048576,Mountain Death Belt
53301,98,131072,Robe of Living Fungus
55349,6146,131072,Triumvirate Missionary Robe
0,349,8,Summoned: Muzzle of Mardu
65535,8352,64,Braided Ivy Cords
4868,34323,4,Dreadful Cap
1,15871,32,Bloodstar Pendant
256,49681,1048576,Skinner's Belt
64,429,8,Triumphant Mask
16,14342,98304,Ring of Pureblood
8,425,1536,Hotof's Bracer
2,49921,1048576,Icebelt
55349,15360,1536,Zombie Flesh Bracer
89,34,32,Warden Symbol of Tunare
65535,16034,64,Worn Cloth Mantle
65535,33439,256,Velium Studded Cloak
65535,558,1048576,Girdle of Reflection
65535,33535,1536,Bracer of Hammerfal
65515,33337,524288,Filth Covered Boots
8962,33041,64,Scorched Pauldrons
58239,32925,4,Skullhelm of Krenlek
16472,447,1536,Mithril Reinforced Wristbands
19584,33071,131072,Small Scarab Breastplate
65535,16930,1536,Withered Leather Wristbands
65535,160,131072,Werewolf-hide Jerkin
38965,8256,8,Incandescent Mask
55349,9232,131072,Robe of Dark Beguilement
16480,15763,131072,Teir`Dal Chainmail Tunic
19640,415,131072,Dwarven Ringmail Tunic
55349,15456,8,Dark Muslin Veil
65535,33692,4096,Kedgemail Gauntlets
65535,215,131072,Sinew Wrapped Owlbear Ribcage
56101,1040,256,Volatilis Wing Cloak
65535,62463,524288,Curscale Boots
65535,22848,64,Mantle of Fire
13058,16977,8,Rhino Hide Snout Guard
57471,671,128,Paineel Steel Vambraces
65535,15928,98304,Ring of Stealthy Travel
65535,32096,64,Bright Runed Mantle
65503,50095,1048576,Belt of the Khala Dun
65535,50141,4096,Shissar Scaled Gauntlets
65535,65384,1728,Undead Dragon Sinew
13058,49937,4,Gigantic Leaf Helm
65535,32256,1048576,Owlbear Feather Belt
65535,26168,18,Wrulon Eye
65535,64925,128,Nightknife's Armband
64747,33216,8,Vereor Mask
65535,32927,8,Visor of the Dreaded Gaze
65535,31888,4096,Gloves of the Damned
65535,49768,256,Skyshadow Wing Cloak
65535,49567,1536,Scourgers' Sharkskin Bracer
65535,49559,262144,Scourgers' Rapparee Greaves
36865,64,1048576,Yellow Sash of Order
65535,16062,98304,Ring of Slime
13058,50175,32,Yelloweyes Collar
64767,33167,128,Truesilver Mail Sleeves
58239,49631,1536,Hero Bracers
2048,6,131072,Worn Felt Tunic*
18432,275,131072,Tin Patched Tunic*
1024,44,131072,Jumjum Sack Tunic*
16437,14336,131072,Violet Sr Apprentice Robe*
65535,15382,98304,Ring of Thunderous Forces
65535,30224,256,Swirling Cloak of the Elements
18432,263,4,Silk Lined Steel Helm
65535,33759,1536,Wristband of the Brood
16480,147,8,Teir`Dal Adamantite Visor
16480,147,8,Teir`Dal Adamantite Visor
96,147,8,Teir`Dal Adamantite Visor
65535,49601,4194304,Ton Po's Mystical Pouch
67,33665,128,Imbued Northman Ring Sleeves
835,33299,128,Ogre Imbued Splint Sleeves
4868,33299,128,Ogre Imbued Splint Sleeves
19689,33159,8,Imbued Dwarven Chain Veil
19689,33159,8,Imbued Dwarven Chain Veil
88,14767,128,Imbued Elven Chainmail Sleeves
60639,64495,1536,Symbol of Loyalty to Firiona
65535,33025,64,Tukwhump's Mithril Pauldrons
57471,151,128,Yellow Fine Plate Vambraces
16481,19,8,Teir'dal Regent Visor
3264,7,8,Underfoot Platemail Visor
65,135,8,Thunderous Heraldic Visor
65535,158,32,Jevik's Collar of Gladness
65535,156,1048576,Veredeth's Belt of Pansophy
69,134,128,Serene Steelweave Vambraces
55349,15392,131072,Torn Robe of Twylight
61439,33245,4,War Helm of the Undead Buccaneer
65535,33727,64,Walrus Hide Pauldrons
65535,33175,4,Lieutenant's Helm
55349,15424,131072,White Wolf Hide Robe
65535,49217,1536,Tijoely's Bracelet
34869,4096,1536,Wristband of Conjuration
65535,13,4096,Kobold Bone Gauntlets
55349,15458,131072,Crystal Covered Shroud
4,18,1048576,Imbued Steelsilk Waistband
4,18,1048576,Imbued Steelsilk Waistband
4,18,1048576,Imbued Steelsilk Waistband
65535,51199,131072,Flayed Paebala Tunic
55349,15513,4,Heavy Caster Cap
13058,50065,1048832,Massive Girdle of the Forge
63307,16904,32,Amulet of the Pure Heart
56165,65363,4,Scalp of the Ghoul Lord
65535,320,524288,Battered Explorer's Sandals
65535,33343,131072,Jungle Spider Carapace
65535,1024,64,Zevfeer's Shroud of Despair
24353,48401,98304,Runed Ebon Bracer of Shadow
65535,16457,1048576,Runewarded Belt
13058,50049,131072,Vest of Living Fungus
65535,46,32,Lotus Vine Necklace
65535,15918,98304,Ring of Flamewarding
65535,49600,8,Veil of Flames
65535,11818,98304,Ring of Immobilization
63613,16000,32,Talisman of Vhal'Sera
65535,33183,4,Velium Spiked Skull Helm
65535,33181,128,Wurmscale Encrusted Armguards
64359,33745,32,Fingerbone Necklace
64747,33224,64,Mantle of the Agile
13058,16640,4,Turban of Spiritual Focus
65535,31840,131072,Wyvern Hide Tunic
