races,classes,slots,n
56101,16,8192,Zealot's Khukri
16504,413,24576,Elven Longsword
18469,16,8192,Broadsword of the Void
32702,413,24576,Glowing Fine Steel Short Sword
52443,393,24576,Ivyshae Blade
61419,393,16384,Barbed Scale Whip
131071,65535,0,Zordak's Box of Bindings
65540,65535,0,Worn Erudite Sewing Kit
66560,65535,0,Worn Vale Sewing Kit
65568,65535,0,Worn Feir'Dal Sewing Kit
16455,413,24576,Antonian Long Sword
65,128,8192,Wind Spirits Longsword
17621,4,8192,"Aldryn, Blade of the Ocean"
57335,22,128,Armguards of Dignity
99401,32,8192,Ivyweaver's Scimitar
98305,1,8192,Defender's Long Sword
65544,65535,0,Obsolete Feir'Dal Fletching Kit
65600,65535,0,Half Elf Sewing Kit
65537,65535,0,Antonican Sewing Kit
65538,65535,0,Northman Sewing Kit
66048,65535,0,Ogre Sewing Kit
65792,65535,0,Troll Sewing Kit
98304,65535,0,Crystalwing Sewing Kit
21281,32797,8192,Enchanted Teir`Dal Bastard Sword
19601,4,8448,Holy Partisan of Underfoot
27883,1,8192,Avenger Battle Axe
29551,32793,8192,Death Elemental
98179,32789,8192,Ancient Longhandled Frostreaver
3200,32773,8192,Stormguard Battle Axe of Brell
121637,16,8192,Blade of Cazic Thule
128,4,8192,Underfoot Defenders Rusty Longsword
53247,32797,8192,Tarnished Halberd
9090,32768,8192,Yngvar's Battleaxe of Ruination
65519,1297,24576,Woe
29473,409,24576,Enchanted Teir`Dal Rapier
24555,257,24576,Deeppocket Rapier
94978,512,8192,Spear of Fate
126187,256,24576,Morden's Ragebringer
18785,15891,24576,Malevolence
64735,1023,24576,Enchanted Battleworn Morning Star
34869,8192,8192,Xolion Rod
23332,16,8192,Rotwood Club
62215,17375,26624,Ogre War Mace
45831,17297,26624,Imbued Ogre War Mace
45831,17107,26624,Imbued Ogre War Mace
19585,391,26624,Stormguard Battle Hammer of Brell
13123,17281,24576,Imbued Northman Mace
13123,17281,24576,Imbued Northman Mace
19691,257,8192,Imbued Deeppocket Traveling Staff
65531,17387,24576,Shining Energeiac Mace
117941,2,8192,Yalienn's Water Sprinkler
116789,2048,8192,Mathii's Staff
100405,8192,8192,Runed Serpent Staff
65536,2,8192,Warhammer of the Devout
29570,49681,8192,Mroons Toy
19232,48146,8192,Tnor'Tesphi
18560,32774,8192,The Butcherblock Hammer
98303,65535,8192,Swirling Staff of Flame
55413,15360,8192,Tserrina's Staff
45955,32832,8192,Scepter of Cracked Heads
33881,8,2048,Kyv Bow of Precision
65525,20,16640,Shield of the Clawed Guardian
65511,919,16384,Hollowed Koada`Dal Rib Cage
24641,399,16384,The Qeynos Shield
19649,7,16384,Mithaniel's Defense
56565,20,16640,Massive Underbulk Shell
24647,1023,16384,Seafarers Buckler Shield
16480,275,16384,Teir`Dal Dragoon Shield
28743,927,16384,Northman Kite Shield
4167,927,16384,Imbued Northman Kite Shield
88,431,16384,Imbued Woodlanders Shield
64765,959,16384,Palisade Defender's Shield
19704,65535,524288,Small Cloth Sandals
64751,33177,4096,Brown Leather Gloves
63541,15360,256,Mystic Cloak
30466,65535,524288,Fuzzknuckle Foothairs
35965,8224,8,Maple Leaf Mask
53301,98,131072,Robe of Living Fungus
16,8192,4,Wreath of Nature
18485,2,131072,Robe of the Seeker
289,514,32,Regent Symbol of Innoruuk
2049,2,32,Initiate Symbol of Bertoxxulous
56165,1040,524288,Tattered Leather Boots
2176,2,32,Pontiff Symbol of Brell Serilis
4356,514,32,Initiate Symbol of Cazic Thule
64,429,8,Triumphant Mask
18480,15362,131072,Robe of the Grove
55349,15360,1536,Zombie Flesh Bracer
89,34,32,Warden Symbol of Tunare
62211,50143,64,Poisoned Mantle
4,16,131072,Tunic of Ridossan
56553,65,128,Tigerskin Sleeves
25451,1,4,Helm of Brute Strength
58239,32925,4,Skullhelm of Krenlek
65499,65535,64,Worn Leather Shoulderpads
16673,514,8,Skinned Halfling Face Mask
29567,16930,4,Withered Leather Skullcap
23329,16,1048576,Belt of Flesh Hooks
38965,8256,8,Incandescent Mask
62279,50175,8,Spiked Mask
19605,4,32,Pendant
31522,65535,32,Imbued Night Ember Sphere
65447,50175,64,Drolvarg Mantle
55333,1024,131072,Xon Quexill's Robe of Enshroudment
49159,151,8,Field Plate Visor
60671,546,4,Zaharn's Coronet
28799,33303,1536,Jarsath Scale Wrist Guards
40,256,131072,Ebon Mail Tunic
4975,151,4,Helm of the Vampyric Traitor
102401,64,1536,Shackle of Steel
61439,4,4,Wind Etched Helm of Ro
36863,8,128,Tolan's Darkwood Vambraces
19237,16,128,Umbral Platemail Vambraces
60651,256,128,Woven Shadow Vambraces
52469,2,128,Vambraces of the Fervent
25346,512,128,Totemic Vambraces
32642,50175,64,Hardened Bone Spaulders
17592,33183,32,Pickbringers Chainmail Collar
64747,33216,8,Vereor Mask
20533,15362,131072,Robe of the Maniacal
36865,64,1048576,Yellow Sash of Order
13058,50175,32,Yelloweyes Collar
22533,1024,131072,Shrouds of Earthen Shadow
17528,927,131072,Banded Orc Vest
19456,256,1536,Small Black Wristbands
8960,33297,4096,Ogre Butcher Gloves
2048,6,131072,Worn Felt Tunic*
16456,1,131072,Old Green Tunic*
16465,14336,131072,Used Blue Robe*
16449,6,131072,White and Blue Tunic*
1,14336,131072,Used Violet Robe*
16464,4,131072,Used Gold Training Tunic*
16501,14336,131072,Senior Apprentice Robe*
16421,14336,131072,Senior Apprentice Robe*
16437,14336,131072,Violet Sr Apprentice Robe*
53,14336,131072,Gold Sr Apprentice Robe*
53,8192,131072,Gold Sr Apprentice Robe*
49205,2048,131072,Crimson Sr Apprentice Robe*
16501,1024,131072,Senior Apprentice Robe*
16421,1024,131072,Senior Apprentice Robe*
5,2,8,Terror Forged Mask
49223,151,256,Silver Full Splinted Cloak
96,147,8,Teir`Dal Adamantite Visor
16472,135,8,Mystic Koada`Dal Mithril Visor
96,147,8,Teir`Dal Adamantite Visor
96,147,8,Teir`Dal Adamantite Visor
770,17,8,Imbued Ogre War Visor
770,17,8,Imbued Ogre War Visor
52473,33695,8,Dwarven Chain Veil
29511,33695,128,Ogre Splintmail Sleeves
67,33665,128,Imbued Northman Ring Sleeves
4932,33297,4,Ogre Imbued Splint Helm
4868,33297,128,Ogre Imbued Splint Sleeves
835,33297,128,Ogre Imbued Splint Sleeves
4932,33299,4,Ogre Imbued Splint Helm
4868,33299,128,Ogre Imbued Splint Sleeves
835,33299,128,Ogre Imbued Splint Sleeves
19689,33159,8,Imbued Dwarven Chain Veil
19689,33159,8,Imbued Dwarven Chain Veil
60639,64495,1536,Symbol of Loyalty to Firiona
1024,256,131072,Tunic of the Slickfinger
52005,16,128,Sentient Vambraces
57471,151,128,Yellow Fine Plate Vambraces
16457,19,8,Imbued Field Plate Visor
3275,19,8,Imbued Field Plate Visor
16457,135,8,Imbued Field Plate Visor
3275,135,8,Imbued Field Plate Visor
16457,135,8,Imbued Field Plate Visor
3275,135,8,Imbued Field Plate Visor
16457,135,8,Imbued Field Plate Visor
3275,135,8,Imbued Field Plate Visor
16457,23,8,Imbued Field Plate Visor
3275,23,8,Imbued Field Plate Visor
